area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,TrryaAi,1237,3,2,52
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Gotis A,1720,3,3,65.98
Built-up  Area,Ready To Move,Cumilla Sadar(South),2 BHK,SurtsCo,1224,2,2,30
Super built-up  Area,Ready To Move,Laxmichhari,3 BHK,PuziaVe,1780,3,2,71.33333333
Plot  Area,Ready To Move,Dimla,4 Bedroom,Stndeil,4700,5,3,533.3333333
Super built-up  Area,Ready To Move,Bagatipara,3 BHK,,1800,3,2,62
Super built-up  Area,Ready To Move,Beanibazar,2 BHK,PrityTr,1139,2,2,37.66666667
Plot  Area,18-May,Pulkeshi Nagar,1 Bedroom,,588,1,0,58.8
Super built-up  Area,22-Dec,Kurigram Sadar,2 BHK,,700,2,1,23.33333333
Plot  Area,Ready To Move,Balaganj,1 Bedroom,,1150,1,0,34.66666667
Super built-up  Area,18-Aug,Chapainawabganj Sadar,3 BHK,,1330,2,2,34.55333333
Super built-up  Area,18-Dec,Chougachha,4 BHK,Jaades ,2732,4,3,129.3333333
Super built-up  Area,Ready To Move,Kaptai,2 BHK,,965,2,1,25.33333333
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Aangsur,1600,3,2,63.33333333
Super built-up  Area,Ready To Move,Kudlu Main Road,2 BHK,,1464,2,2,37.33333333
Super built-up  Area,Ready To Move,Charghat,3 BHK,APuraen,3100,3,,266.6666667
Super built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1075,2,1,30
Plot  Area,Ready To Move,Kengeri Hobli,2 Bedroom,,1840,1,0,63.33333333
Super built-up  Area,Ready To Move,Dhumki,3 BHK,,1223,3,2,26.09333333
Super built-up  Area,18-Dec,Baliakandi,2 BHK,Vaharvi,1170,2,2,29.33333333
Super built-up  Area,18-Apr,Bandar,4 BHK,Brica E,3630,6,1,138
Super built-up  Area,Ready To Move,Babuganj,2 BHK,Sririth,950,2,2,23.33333333
Super built-up  Area,Ready To Move,Charghat,3 BHK,Tusom B,5400,3,2,266.6666667
Super built-up  Area,Ready To Move,Aditmari,2 BHK,Palleon,865,2,1,26.66666667
Plot  Area,Ready To Move,Kirloskar Layout,4 Bedroom,,2400,4,2,59.33333333
Built-up  Area,Ready To Move,Chatkhil,2 BHK,RothaVa,1169,2,2,50
Built-up  Area,Ready To Move,Bakshiganj,2 BHK,,1206,2,,26.66666667
Plot  Area,Ready To Move,Sarjapur Bagalur Road,4 Bedroom,,10961,4,1,53.33333333
Super built-up  Area,Ready To Move,Fakirhat,3 BHK,Soiewre,1683,3,1,73.33333333
Super built-up  Area,18-May,Katiadi,3 BHK,,1250,2,2,29.33333333
Super built-up  Area,Ready To Move,Chakaria,4 BHK,,3150,4,3,145.3333333
Plot  Area,Ready To Move,B Y Raveshwara Nagar,4 Bedroom,,1200,2,1,93.33333333
Carpet  Area,18-Dec,Bhanga,3 BHK,Rosha I,1234.6,3,1,69.33333333
Super built-up  Area,21-Jun,Boda,1 BHK,Saahaat,492,1,1,26.66666667
Built-up  Area,Ready To Move,Bakerganj,2 BHK,Sriseva,600,1,0,18
Super built-up  Area,Ready To Move,Chunarughat,3 BHK,Mykyayi,1902,3,2,59.33333333
Plot  Area,18-May,Kothnur Narayanapura,6 Bedroom,,1200,6,,83.33333333
Super built-up  Area,18-Nov,Govindpura,3 BHK,,1639,3,1,51.92666667
Super built-up  Area,Ready To Move,Bahubal,2 BHK,Ocrda M,1214,2,3,44.66666667
Built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa ,565,2,1,10
Plot  Area,Ready To Move,Gaffargaon,5 Bedroom,,2520,4,1,252
Super built-up  Area,18-Dec,Bajitpur,2 BHK,BrriaIm,1386,2,2,56.66666667
Super built-up  Area,Ready To Move,Araihazar,3 BHK,Guranya,1535,3,3,40
Super built-up  Area,Ready To Move,Amtali,3 BHK,RookaJh,1720,3,,116.6666667
Super built-up  Area,Ready To Move,Ashuganj,3 BHK,SrncyRe,1370,2,2,36.52666667
Built-up  Area,18-Mar,Araihazar,3 BHK,SNity S,1655,3,3,60
Built-up  Area,Ready To Move,Birol,2 BHK,Saata S,1200,2,2,34.66666667
Super built-up  Area,Ready To Move,Debiganj,3 BHK,Saaksa ,1610,3,3,45.33333333
Plot  Area,Ready To Move,Baliakandi,4 Bedroom,,2200,4,2,86.66666667
Plot  Area,Ready To Move,Barishal Sadar,3 Bedroom,,1200,2,0,44
Super built-up  Area,Ready To Move,Kalaroa,2 BHK,,1105,2,1,53.33333333
Plot  Area,Ready To Move,Koyra,2 Bedroom,,753,3,3,39.66666667
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Prtates,1655,3,1,72
Built-up  Area,Ready To Move,Kr Garden,3 Bedroom,,1700,3,1,166.6666667
Super built-up  Area,Ready To Move,Keraniganj,2 BHK,Prodsth,770,2,2,20
Super built-up  Area,18-May,Bhurungamari,2 BHK,Soresea,1210,2,1,46
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,,965,2,2,24.76666667
Super built-up  Area,20-Dec,Agailjhara,2 BHK,PrarePa,700,1,1,27.33333333
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Veales ,1740,3,2,63.33333333
Built-up  Area,18-Dec,Atrai,3 BHK,Sryalan,1310,2,1,25.22666667
Super built-up  Area,17-Oct,Adarsha Sadar,3 BHK,Asuceis,1763.25,3,3,65.33333333
Super built-up  Area,Ready To Move,Gaffargaon,3 BHK,Suncy R,1900,3,3,100
Plot  Area,Ready To Move,Goshairhat,6 Bedroom,,1000,6,3,100
Super built-up  Area,Ready To Move,Bancharampur,3 BHK,DSillto,1450,2,2,36.66666667
Super built-up  Area,Ready To Move,Birganj,3 BHK,Pu270a ,1836,3,2,98.66666667
Super built-up  Area,Ready To Move,Hoodi Layout,2 BHK,SVstos ,1160,2,2,50
Super built-up  Area,Ready To Move,Ashasuni,2 BHK,AdestAs,1153,2,1,28.66666667
Super built-up  Area,Ready To Move,Amtali,2 BHK,SatatHa,1285,2,2,36.66666667
Super built-up  Area,Ready To Move,Rest House Road,3 BHK,,2500,3,2,266.6666667
Super built-up  Area,Ready To Move,Atpara,2 BHK,,1194,2,2,31.33333333
Super built-up  Area,Ready To Move,Kalma Kanda,2 BHK,Krshi G,1257,2,1,70
Plot  Area,Ready To Move,Abhaynagar,3 Bedroom,Anlthmo,1200,3,1,37.81333333
Carpet  Area,19-Jun,Bakshiganj,1 BHK,Kolisl ,527 - 639,1,0,18.85
Super built-up  Area,Ready To Move,Chowhali,3 BHK,Sahtsva,1240,2,1,52.66666667
Super built-up  Area,Ready To Move,Basapura,3 BHK,Jaangm ,1294,2,2,34.66666667
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,DSldsen,1095,2,1,30
Super built-up  Area,Ready To Move,Belabo,2 BHK,NRosete,1145,2,2,30.66666667
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Saitya ,1826,3,2,86.66666667
Super built-up  Area,18-Jul,Bagatipara,2 BHK,Maavera,1314,2,2,40
Super built-up  Area,Ready To Move,Bamna,3 BHK,KHage G,1900,2,1,80
Super built-up  Area,18-May,Keb Colony,2 BHK,,1040,2,2,24.56
Super built-up  Area,Ready To Move,Bandarban Sadar,2 BHK,BrdgeNo,1290,2,1,56.66666667
Plot  Area,Ready To Move,Kaptai,4 Bedroom,,1200,4,0,86.66666667
Super built-up  Area,Ready To Move,Gollahalli,3 BHK,SuanaNa,1325,2,1,31.33333333
Super built-up  Area,19-Oct,Alikadam,3 BHK,SNontle,2600,3,2,130
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,,1129,2,1,29.33333333
Super built-up  Area,20-Jan,Bhurungamari,1 BHK,Soresea,645 - 936,1,0,28.19666667
Built-up  Area,Ready To Move,Alikadam,2 BHK,Diaveic,1075,2,0,34.66666667
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1108,2,1,32
Built-up  Area,Ready To Move,Daganbhuiyan,2 BHK,,810,2,1,17
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1155,2,1,43.33333333
Super built-up  Area,Ready To Move,Atwari,6 BHK,,3900,6,3,173.3333333
Super built-up  Area,Ready To Move,Atwari,3 BHK,,2367,3,3,250
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,SJityaz,1550,2,2,65.33333333
Super built-up  Area,Ready To Move,Dighinala,2 BHK,,1100,2,2,25.33333333
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,JRrnauv,1452,3,3,36.13333333
Super built-up  Area,Ready To Move,Banshkhali,2 BHK,,1141,2,2,36
Super built-up  Area,Ready To Move,Hosur Rmain Road,3 BHK,,1464,3,2,37.33333333
Super built-up  Area,Ready To Move,Hanumanth Nagar,3 BHK,Saersel,1500,3,3,44.99333333
Super built-up  Area,Ready To Move,Chirirbandar,1 BHK,,456,1,1,10
Plot  Area,Ready To Move,Baliakandi,4 Bedroom,,1200,4,1,83.33333333
Super built-up  Area,Ready To Move,Barhatta,4 BHK,Prtanha,3122,6,2,163.3333333
Built-up  Area,Ready To Move,Boalkhali,2 BHK,,760,2,2,24.99333333
Plot  Area,Ready To Move,Bamna,6 Bedroom,,2400,6,0,320
Built-up  Area,Ready To Move,Aditmari,2 BHK,Mavanru,800,2,2,21.33333333
Super built-up  Area,Ready To Move,Dhobaura,2 BHK,GRlpank,1180,2,1,47.48
Carpet  Area,Ready To Move,Baraigram,2 BHK,Chisea ,775,2,2,19.66666667
Super built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,Usquaya,1145,2,2,33
Super built-up  Area,Ready To Move,Konappana Agrahara,2 BHK,,1060,2,1,28.33333333
Super built-up  Area,Ready To Move,Itna,4 BHK,,3900,5,,276.6666667
Super built-up  Area,19-Sep,Brahmanpara,3 BHK,,1420,2,1,50
Super built-up  Area,Ready To Move,Bhanga,4 BHK,Pride S,2439,4,3,126.6666667
Plot  Area,Ready To Move,Doarabazar,4 Bedroom,,1200,4,2,200
Super built-up  Area,19-Dec,Bagerhat Sadar,2 BHK,Caycend,1111,2,1,32.95333333
Built-up  Area,Ready To Move,Jeevan Bima Nagar,2 Bedroom,,984,2,2,83.33333333
Super built-up  Area,Ready To Move,Baghaichari,2 BHK,Dhalsh ,1200,2,2,28
Super built-up  Area,18-Oct,Araihazar,2 BHK,DSnjh S,1247,2,1,31.59333333
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,Brnia G,1050,2,1,51.64666667
Super built-up  Area,Ready To Move,Bhuapur,3 BHK,,1550,3,1,56.66666667
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,BriumMi,1270,2,1,53.33333333
Super built-up  Area,18-Apr,Bhurungamari,2 BHK,Soresea,1012,2,1,43.33333333
Super built-up  Area,Ready To Move,Aditmari,2 BHK,Shncy R,970,2,2,22.66666667
Super built-up  Area,18-Feb,Ajmiriganj,2 BHK,Bhmesy ,933,2,1,36.66666667
Plot  Area,18-Aug,Bagher Para,3 Bedroom,Icaryan,1200,3,2,50.75333333
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2,2,46
Super built-up  Area,Ready To Move,Ashuganj,3 BHK,Vasta C,1463,2,1,40.96666667
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Reicace,1719,3,2,73.33333333
Super built-up  Area,19-Dec,Abhaynagar,2 BHK,Oreldhi,1350,2,1,58.66666667
Built-up  Area,Ready To Move,Baraigram,3 BHK,FoncyRe,1250,2,2,31.33333333
Built-up  Area,Ready To Move,Jamalpur Sadar,8 Bedroom,,1700,3,2,33.33333333
Plot  Area,Ready To Move,Kalaroa,9 Bedroom,,4320,7,2,547.3333333
Built-up  Area,Ready To Move,Chatkhil,2 BHK,RothaVa,1200,2,1,50
Built-up  Area,Ready To Move,Abhaynagar,2 BHK,Niborik,1030,2,2,29.33333333
Super built-up  Area,Ready To Move,Rajasree Layout,3 BHK,Itbhaa ,1420,3,3,46.66666667
Plot  Area,Ready To Move,Bhaluka,5 Bedroom,Adion A,9600,6,1,1200
Super built-up  Area,19-Jul,Agailjhara,3 BHK,Soazak ,1703,3,2,84
Super built-up  Area,Ready To Move,Bandar,2 BHK,Brglede,1210,2,1,53.33333333
Super built-up  Area,Ready To Move,Debiganj,2 BHK,,1210,2,1,33.33333333
Plot  Area,18-Aug,Veer Sandra,4 Bedroom,Thessie,3000,4,3,176
Super built-up  Area,Ready To Move,Chikkadunnasandra,3 BHK,Krz 2 Q,1398,3,0,34
Super built-up  Area,Ready To Move,Jamalpur Sadar,2 BHK,Goeenes,1335,2,3,73.33333333
Super built-up  Area,Ready To Move,Bawphal,2 BHK,Shateor,1255,2,1,34.88
Plot  Area,Ready To Move,Bhairab,4 Bedroom,,540,4,2,56.66666667
Super built-up  Area,18-Apr,Dighinala,3 BHK,,1213,2,1,24.24666667
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1240,2,2,28.02666667
Super built-up  Area,Ready To Move,Laxmichhari,2 BHK,NCarkna,1076,2,1,52
Built-up  Area,Ready To Move,3Rd Block Hrbr Layout,2 BHK,Icncy R,1320,2,3,60
Super built-up  Area,19-Mar,Abhaynagar,2 BHK,Prtates,1216,2,1,53.33333333
Super built-up  Area,Ready To Move,Ajmiriganj,2 BHK,MenueNo,1100,2,2,28
Super built-up  Area,19-Mar,Ajmiriganj,2 BHK,Bhe 2ko,1183,2,1,51.53333333
Super built-up  Area,20-Jan,Bhurungamari,1 BHK,Soresea,656,1,1,25.84666667
Super built-up  Area,19-Dec,Adarsha Sadar,1 BHK,Daivon ,534,1,1,13.1
Super built-up  Area,Ready To Move,Shikaripalya,3 BHK,GKowsea,1285,2,2,30
Super built-up  Area,Ready To Move,Bhandaria,3 BHK,SoisoCa,2087.01,4,2,90
Built-up  Area,18-Dec,"Off Sarjapur Road, ",2 BHK,,1161,2,1,39.33333333
Built-up  Area,Ready To Move,Hizla,2 BHK,Arntyi ,1306,2,3,43.33333333
Super built-up  Area,22-May,Bandarban Sadar,4 BHK,SoineC ,2249.81,4,2,163.3333333
Built-up  Area,Ready To Move,Tata Nagar,3 BHK,Karchru,1504,3,2,44.66666667
Super built-up  Area,18-May,Bhurungamari,1 BHK,Soresea,645,1,1,26
Plot  Area,Ready To Move,Esther Enclave Layout,2 Bedroom,,1230,2,0,45.33333333
Built-up  Area,Ready To Move,Alikadam,2 BHK,,1100,2,2,28
Super built-up  Area,Ready To Move,Laxmichhari,1 BHK,,1000,1,0,9.333333333
Super built-up  Area,18-Jun,Sadaramangala,2 BHK,Maade P,1260,2,1,41.33333333
Built-up  Area,Ready To Move,Dhamoirhat,3 BHK,,1817,3,3,68
Super built-up  Area,19-Jan,Jaldhaka,4 BHK,Priesla,3626,5,3,523.3333333
Super built-up  Area,18-Apr,Companiganj,2 BHK,,1180,2,3,82.66666667
Built-up  Area,Ready To Move,Badalgachi,2 BHK,Esnamth,1050,2,2,36.66666667
Plot  Area,Ready To Move,Abhaynagar,4 Bedroom,MIntare,2900,4,3,150
Built-up  Area,Ready To Move,Bahubal,3 Bedroom,,2110,4,3,80
Built-up  Area,Ready To Move,Bhairab,1 BHK,,500,1,1,11.66666667
Super built-up  Area,Ready To Move,Joypurhat Sadar,3 BHK,,1930,3,3,50
Plot  Area,Ready To Move,Harappanahalli,4 Bedroom,Nioutar,4560,5,,286.6666667
Super built-up  Area,Ready To Move,Cox'S Bazar Sadar,3 BHK,Maourit,1505,3,2,42.66666667
Plot  Area,Ready To Move,Jayamahal,4 Bedroom,,2400,3,1,500
Super built-up  Area,Ready To Move,Daganbhuiyan,2 BHK,,890,2,1,18
Plot  Area,19-Jan,Chirirbandar,2 Bedroom,,1200,1,1,24
Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,,849,2,2,16.93333333
Plot  Area,Ready To Move,Gournadi,3 Bedroom,,1555,3,1,66.66666667
Plot  Area,Ready To Move,8Th Block Koramangala,3 Bedroom,,600,2,1,56.66666667
Carpet  Area,Ready To Move,Badalgachi,2 BHK,Shionya,1057,2,2,20
Super built-up  Area,Ready To Move,Ashuganj,3 BHK,Eladero,1680,3,2,81.33333333
Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,799,2,1,23.33333333
Built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,,1450,2,1,50
Super built-up  Area,18-Dec,Adarsha Sadar,3 BHK,Klark L,1819,3,2,66.66666667
Super built-up  Area,Ready To Move,Agailjhara,2 BHK,,1135,2,1,37.82666667
Super built-up  Area,Ready To Move,Belabo,3 BHK,PuontFa,2020,3,2,106.6666667
Super built-up  Area,Ready To Move,Vinayaka Layout,5 BHK,V htsji,2700,4,,113.3333333
Super built-up  Area,18-Jan,Banaripara,3 BHK,Pamesy ,1730,3,2,48.4
Built-up  Area,Ready To Move,Habiganj Sadar,3 BHK,Sooneoo,1950,3,2,83.33333333
Super built-up  Area,Ready To Move,Thirumalashettyhally,2 BHK,Srcha S,1077,2,1,22.97333333
Super built-up  Area,Ready To Move,Bheramara,3 BHK,Stide B,1706,3,2,76.66666667
Built-up  Area,Ready To Move,New Gurappana Palya,5 BHK,,3000,4,0,200
Super built-up  Area,Ready To Move,Chapainawabganj Sadar,2 BHK,Unm 2El,1093,2,1,24.66666667
Super built-up  Area,Ready To Move,Dhamoirhat,4 BHK,,2750,4,,94.66666667
Super built-up  Area,18-Feb,Abhaynagar,2 BHK,BrlisCo,1340,2,1,67.33333333
Super built-up  Area,18-Nov,Adarsha Sadar,2 BHK,AsastDe,984,2,1,39.33333333
Super built-up  Area,Ready To Move,Kathalia,2 BHK,DSutyng,1135,2,2,45.33333333
Plot  Area,18-Dec,Araihazar,4 Bedroom,Putere ,2400,4,1,229.3333333
Super built-up  Area,Ready To Move,Baniachong,2 BHK,MKllei ,1155,2,2,26
Super built-up  Area,Ready To Move,Goalanda,1 BHK,Baowsig,700,1,0,23.33333333
Super built-up  Area,Ready To Move,Boalkhali,2 BHK,Maows M,1150,2,1,28
Super built-up  Area,Ready To Move,Bakshiganj,3 BHK,ARureig,1385,2,1,46.16666667
Super built-up  Area,Ready To Move,Barguna Sadar,3 BHK,HiahsLa,2061,4,2,116.6666667
Super built-up  Area,Ready To Move,Feni Sadar,3 BHK,,1335,2,3,48.95333333
Super built-up  Area,Ready To Move,Babuganj,2 BHK,Goner C,1015,2,1,40
Built-up  Area,Ready To Move,Dhamrai,6 Bedroom,,3000,6,2,100
Super built-up  Area,Ready To Move,Aditmari,2 BHK,Prarkun,1108,2,1,42
Super built-up  Area,Ready To Move,Charghat,2 BHK,,1180,2,1,70
Super built-up  Area,18-Sep,Ashasuni,3 BHK,Maity W,1445,2,1,55.33333333
Super built-up  Area,Ready To Move,Khansama,2 BHK,,1500,2,2,43.33333333
Plot  Area,Ready To Move,Baliakandi,1 Bedroom,,1Grounds,1,1,32
Super built-up  Area,18-Jun,Badalgachi,2 BHK,MCnexva,1085,2,1,31
Super built-up  Area,Ready To Move,Bashail,2 BHK,,1050,2,2,34.72
Plot  Area,Ready To Move,Bochaganj,4 Bedroom,,2760,4,2,193.3333333
Built-up  Area,Ready To Move,Haimchar,3 BHK,,1330,2,1,32.66666667
Plot  Area,18-May,Bhaluka,2 Bedroom,,845,2,1,30.54666667
Super built-up  Area,18-Mar,Bochaganj,3 BHK,Alestrb,1762,3,3,74.66666667
Super built-up  Area,Ready To Move,Dhamoirhat,2 BHK,Dimes E,1303,2,2,53.33333333
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1560,2,2,83.33333333
Super built-up  Area,19-Jan,Austagram,3 BHK,SuVue S,1110,2,2,19.98
Super built-up  Area,18-May,Doddabanahalli,3 BHK,,1290,3,2,30.22
Super built-up  Area,Ready To Move,Araihazar,2 BHK,Loals P,1160 - 1315,2,0,32.99333333
Super built-up  Area,18-Mar,Biswanath,3 BHK,HMigond,1780,3,2,58.66666667
Super built-up  Area,Ready To Move,Beanibazar,3 BHK,PrityTr,1636,3,2,55.33333333
Built-up  Area,18-May,Bawphal,4 Bedroom,Asoilul,2557,,,113.3333333
Built-up  Area,Ready To Move,Hakimpur,2 BHK,DShtsow,1332,2,2,67.33333333
Super built-up  Area,Ready To Move,Sadashiva Nagar,5 BHK,,7500,5,2,1000
Built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,1012,2,2,39.33333333
Super built-up  Area,Ready To Move,Balaganj,2 BHK,Reunee ,1192,2,2,35.66666667
Super built-up  Area,Ready To Move,Dumuria,2 BHK,SLtias ,795,2,1,21.69333333
Super built-up  Area,Ready To Move,Alfadanga,2 BHK,,1213,2,2,32
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,CoLeoen,1489,3,2,58.66666667
Super built-up  Area,Ready To Move,Bagher Para,2 BHK,Ahownve,1200,2,2,41.33333333
Super built-up  Area,18-Jul,Atrai,2 BHK,,1140,2,2,19
Super built-up  Area,18-Apr,Bhuapur,3 BHK,Brrds O,1200,2,1,36.72
Super built-up  Area,18-Aug,Daganbhuiyan,2 BHK,,1200,2,1,24
Plot  Area,Ready To Move,Birol,5 Bedroom,,2640,6,1,150
Super built-up  Area,Ready To Move,Araihazar,3 BHK,,1650,3,1,62.66666667
Plot  Area,Ready To Move,Bharathnagar,2 Bedroom,,1245,2,1,80
Super built-up  Area,Ready To Move,Dupchanchia,2 BHK,AWharde,1224,2,2,44.66666667
Super built-up  Area,18-Aug,Fatikchari,2 BHK,BMineis,1235,2,2,35.17333333
Super built-up  Area,Ready To Move,Kalapara,2 BHK,,1200,2,2,30.4
Built-up  Area,Ready To Move,Laxmichhari,3 BHK,NCs 2rj,1342,2,2,50
Plot  Area,Ready To Move,Biswanath,3 Bedroom,,600,3,2,52.66666667
Built-up  Area,Ready To Move,Barishal Sadar,2 BHK,GilomSh,1800,2,2,53.33333333
Plot  Area,Ready To Move,Kotchandpur,4 Bedroom,,2280,4,2,410
Plot  Area,Ready To Move,Atwari,4 Bedroom,,2440,2,0,276.6666667
Super built-up  Area,Ready To Move,Dumuria,2 BHK,SLtias ,1130,2,1,30.88666667
Built-up  Area,Ready To Move,Daulatpur,2 BHK,ManceEl,1186,2,3,48
Super built-up  Area,Ready To Move,Bawphal,2 BHK,Shateor,1295,2,1,42.66666667
Super built-up  Area,Ready To Move,Chandpur Sadar,3 BHK,Srier P,1535,3,2,56.66666667
Super built-up  Area,Ready To Move,Araihazar,2 BHK,SNity S,905,2,1,43.33333333
Super built-up  Area,18-Jul,Bhanga,2 BHK,Rosha I,1447,2,1,50.64666667
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,Nadhian,1165,2,1,26.66666667
Super built-up  Area,19-Jul,Agailjhara,2 BHK,Soazak ,1328,2,2,71.33333333
Super built-up  Area,Ready To Move,Laksam,3 BHK,,1485,2,3,73.33333333
Super built-up  Area,Ready To Move,Alfadanga,3 BHK,,1475,2,3,39.33333333
Super built-up  Area,Ready To Move,Birol,2 BHK,AuRISa ,1175,2,2,23.33333333
Super built-up  Area,Ready To Move,Barhatta,2 BHK,Prtanha,1245,2,2,66.66666667
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,,720,4,1,63.33333333
Super built-up  Area,20-Nov,Bashail,2 BHK,AsNowre,985,2,1,33.31333333
Plot  Area,Ready To Move,Bamna,5 Bedroom,,4000,5,0,533.3333333
Super built-up  Area,Ready To Move,Fenchuganj,3 BHK,VRiewke,1395,2,2,42
Super built-up  Area,21-Dec,Bagerhat Sadar,1 BHK,GoAirej,706 - 716,1,0,28.43333333
Super built-up  Area,18-Apr,Aditmari,1 BHK,Prarkun,630,1,1,27
Super built-up  Area,Ready To Move,Ms Pallya,4 BHK,,2400,4,1,58.66666667
Super built-up  Area,Ready To Move,Bhangura,2 BHK,,1170,2,2,26.66666667
Super built-up  Area,Ready To Move,Amtali,4 BHK,Prionad,2500,5,2,120.6666667
Super built-up  Area,Ready To Move,Dhumki,2 BHK,,1100,2,2,33
Super built-up  Area,18-Mar,Belaichhari,4 BHK,Vapasrk,3560,5,3,212
Plot  Area,Ready To Move,Dharmapasha,2 Bedroom,,900,2,0,36.66666667
Built-up  Area,18-Dec,Dhanbari,2 BHK,,1160,2,1,22.34
Super built-up  Area,18-Jan,Baniachong,2 BHK,Muistry,1180,2,2,36.66666667
Super built-up  Area,21-Jan,Chowhali,3 BHK,Sapus S,1441,2,1,63.33333333
Super built-up  Area,Ready To Move,Channasandra Layout,2 BHK,Aconyit,1115,2,1,33.33333333
Super built-up  Area,Ready To Move,Bagha,3 BHK,Goandn ,1825,3,2,96.66666667
Carpet  Area,Ready To Move,Challaghatta,2 BHK,,1489,2,0,67.33333333
Super built-up  Area,Ready To Move,Defence Colony,4 BHK,,2800,4,3,243.3333333
Super built-up  Area,Ready To Move,Birampur,3 BHK,Prldsri,1278,3,2,41.80666667
Super built-up  Area,Ready To Move,Birampur,3 BHK,,1223,2,2,28.54
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,,1065,2,1,33.94666667
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,Pae 1ov,1190,2,1,42.66666667
Super built-up  Area,22-Jun,Bamna,2 BHK,,1130,2,2,42
Super built-up  Area,18-Apr,Bakerganj,2 BHK,Bregae ,1430,2,2,58.53333333
Built-up  Area,Ready To Move,Ghatail,4 BHK,Aples M,1900,3,1,60
Super built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,DSlesSp,1104,2,1,22.81333333
Super built-up  Area,Ready To Move,Baghaichari,2 BHK,Dhalsh ,1240,2,2,30.58666667
Built-up  Area,Ready To Move,Dhobaura,2 BHK,GRlpank,1140,2,2,41.33333333
Super built-up  Area,Ready To Move,Atpara,2 BHK,,1194,2,2,31.33333333
Super built-up  Area,Ready To Move,Kudlu Main Road,3 BHK,,1464,3,2,37.33333333
Super built-up  Area,Ready To Move,Bagher Para,4 BHK,Prldsum,3508,6,2,283.3333333
Super built-up  Area,Ready To Move,Badalgachi,3 BHK,KeureSi,1700,3,3,70
Super built-up  Area,18-Dec,Chougachha,4 BHK,Jaades ,2658,5,3,126
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,DencyRe,1600,2,1,60
Super built-up  Area,Ready To Move,Gazipur Sadar,4 BHK,,3400,4,2,183.3333333
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,3 BHK,Sariana,1508,3,1,50
Built-up  Area,18-Jan,Bhurungamari,1 BHK,Soresea,645,1,1,27.33333333
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,,1046,2,1,40
Plot  Area,Ready To Move,Satkania,10 Bedroom,,1200,8,3,153.3333333
Built-up  Area,Ready To Move,5Th Block Jayanagar,1 Bedroom,,1500,1,1,200
Built-up  Area,Ready To Move,Mahalakshmi Puram,6 Bedroom,,3000,6,3,200
Super built-up  Area,18-May,Banaripara,2 BHK,SStusan,1079,2,1,21.58
Super built-up  Area,Ready To Move,Faridpur Sadar,2 BHK,Soowsa ,975,2,1,33.33333333
Built-up  Area,Ready To Move,Kachua,2 BHK,Foinade,1050,2,1,34
Plot  Area,Ready To Move,Belabo,9 Bedroom,,1200,9,0,233.3333333
Super built-up  Area,Ready To Move,"Jayanagar, ",3 BHK,,1903,3,2,110
Built-up  Area,Ready To Move,Kapasia,3 Bedroom,Prood G,2940Sq. Yards,3,1,154.6666667
Super built-up  Area,Ready To Move,Asthagrama Layout,2 BHK,,1200,2,2,25.33333333
Super built-up  Area,Ready To Move,Avalahalli,4 BHK,Sohea A,2996,4,3,133.3333333
Built-up  Area,Ready To Move,Lalmohan,4 BHK,,3400,4,,133.3333333
